,r,transition,subject,session,bestAction,trial,time,firstLevelAction,secondLevelAction,secState
1,1,-1,1,s70,L,0,5.83,R,R,HL_ON
2,1,1,1,s70,L,1,9.3,L,R,HL_ON
3,1,1,1,s70,L,2,16.65,L,R,HL_ON
4,1,1,1,s70,L,3,21.4,L,R,HL_ON
5,1,1,1,s70,L,4,26.2,L,R,HL_ON
6,-1,1,1,s70,R,5,27.63,L,R,BLINK_ON
9,-1,1,1,s70,R,8,32.26,L,R,BLINK_ON
13,-1,1,1,s70,R,12,39.45,L,R,BLINK_ON
17,-1,1,1,s70,R,16,45.3,L,R,BLINK_ON
18,1,1,1,s70,R,17,50.76,R,L,HL_ON
19,-1,1,1,s70,R,18,52.27,L,R,BLINK_ON
20,1,1,1,s70,R,19,58.29,R,L,BLINK_ON
21,1,1,1,s70,R,20,65.31,R,L,BLINK_ON
22,1,1,1,s70,R,21,70.87,R,L,HL_ON
27,-1,1,1,s70,R,26,76.91,L,R,BLINK_ON
29,1,1,1,s70,R,28,85.21,R,L,BLINK_ON
30,1,1,1,s70,R,29,91.19,R,L,HL_ON
33,-1,-1,1,s70,R,32,94.4,R,R,BLINK_ON
34,1,1,1,s70,R,33,100.62,R,L,HL_ON
35,-1,1,1,s70,R,34,102.17,L,R,BLINK_ON
36,1,1,1,s70,R,35,107.56,R,L,HL_ON
38,-1,1,1,s70,R,37,110.64,L,R,BLINK_ON
40,1,1,1,s70,R,39,116.53,R,L,BLINK_ON
41,1,1,1,s70,R,40,121.55,R,L,HL_ON
44,-1,1,1,s70,R,43,127.56,L,R,HL_ON
49,1,1,1,s70,R,48,139.97,R,L,BLINK_ON
50,1,1,1,s70,R,49,146.51,R,L,BLINK_ON
51,1,1,1,s70,R,50,153.94,R,L,BLINK_ON
52,-1,1,1,s70,L,51,155.56,R,L,HL_ON
53,1,1,1,s70,L,52,159.07,L,R,HL_ON
54,1,1,1,s70,L,53,163.43,L,R,HL_ON
55,1,1,1,s70,L,54,167.93,L,R,HL_ON
56,1,1,1,s70,L,55,172.28,L,R,HL_ON
57,1,1,1,s70,L,56,176.72,L,R,HL_ON
58,1,1,1,s70,L,57,181.24,L,R,HL_ON
59,1,1,1,s70,L,58,184.91,L,R,HL_ON
61,1,1,1,s70,R,60,191.79,R,L,BLINK_ON
62,1,1,1,s70,R,61,197.24,R,L,BLINK_ON
63,1,1,1,s70,R,62,203.5,R,L,HL_ON
65,1,1,1,s70,R,64,211.33,R,L,BLINK_ON
66,1,1,1,s70,R,65,217.06,R,L,HL_ON
68,-1,1,1,s70,R,67,219.79,L,R,BLINK_ON
70,1,1,1,s70,R,69,224.98,R,L,HL_ON
73,1,1,1,s70,R,72,234.04,R,L,BLINK_ON
74,1,1,1,s70,R,73,239.32,R,L,BLINK_ON
75,1,1,1,s70,R,74,243.88,R,L,HL_ON
79,-1,1,1,s70,R,78,251.48,L,R,HL_ON
